"variety","method","plant","tubers","weight","infection"
"Mariva","pot","3",7,122.9,1
"Mariva","pot","4",6,107.5,1
"Mariva","pot","5",6,88.6,0
"Mariva","pot","6",6,114.7,0
"Mariva","pot","7",3,64.7,0
"Mariva","pot","8",5,87.3,0
"Mariva","pot","9",6,47.6,0
"Mariva","pot","10",4,88.3,1
"Mariva","bed","1",11,118.2,0
"Mariva","bed","2",11,103.6,0
"Mariva","bed","3",8,125,1
"Mariva","bed","4",6,29.4,0
"Mariva","bed","5",4,29.2,0
"Mariva","bed","6",8,127.3,1
"Mariva","bed","7",5,59.9,0
"Mariva","bed","8",5,77.3,0
"Mariva","bed","9",5,34.1,0
"Mariva","bed","10",8,102.9,0
"Mariva","hydroponic","1",2,34.25,0
"Mariva","hydroponic","2",2,5.55,1
"Mariva","hydroponic","3",1,8.5,0
"Mariva","hydroponic","4",2,14.95,0
"Mariva","hydroponic","5",2,20.1,1
"Mariva","hydroponic","6",2,14.15,0
"Mariva","hydroponic","7",2,7.85,0
"Mariva","hydroponic","8",1,11,1
"Mariva","hydroponic","9",1,7.85,0
"Mariva","hydroponic","10",2,4.25,1
"Mariva","aeroponic","1",4,74.1,1
"Mariva","aeroponic","2",4,76.3,0
"Mariva","aeroponic","3",4,76,0
"Mariva","aeroponic","4",4,57.85,0
"Mariva","aeroponic","5",10,188.3,0
"Mariva","aeroponic","6",5,19.4,0
"Mariva","aeroponic","7",6,99.2,0
"Mariva","aeroponic","8",5,91.5,0
"Mariva","aeroponic","9",8,165.6,0
"Mariva","aeroponic","10",3,86.7,1
"Costanera","pot","1",8,166.3,0
"Costanera","pot","2",7,152.2,1
"Costanera","pot","3",4,136.8,0
"Costanera","pot","4",5,129.1,0
"Costanera","pot","5",3,110.1,0
"Costanera","pot","6",7,138.8,0
"Costanera","pot","7",4,150.8,0
"Costanera","pot","8",3,137,0
"Costanera","pot","9",4,81.6,0
"Costanera","pot","10",5,107.9,1
"Costanera","bed","1",6,159.3,1
"Costanera","bed","2",4,118.5,1
"Costanera","bed","3",4,80,1
"Costanera","bed","4",4,79.7,1
"Costanera","bed","5",5,49.2,1
"Costanera","bed","6",4,57.4,1
"Costanera","bed","7",5,78.9,0
"Costanera","bed","8",6,54.9,1
"Costanera","bed","9",6,67.6,1
"Costanera","bed","10",5,123.7,0
"Costanera","hydroponic","1",5,22.6,1
"Costanera","hydroponic","2",3,24.7,1
"Costanera","hydroponic","3",5,25.8,0
"Costanera","hydroponic","4",4,22.6,1
"Costanera","hydroponic","5",5,20.3,1
"Costanera","hydroponic","6",4,14.1,1
"Costanera","hydroponic","7",5,19.3,1
"Costanera","hydroponic","8",4,13.3,0
"Costanera","hydroponic","9",3,14.9,1
"Costanera","hydroponic","10",5,15.6,0
"Costanera","aeroponic","1",4,61.5,0
"Costanera","aeroponic","2",3,78.6,0
"Costanera","aeroponic","3",4,49.3,0
"Costanera","aeroponic","4",6,29.5,0
"Costanera","aeroponic","5",5,25.9,1
"Costanera","aeroponic","6",5,49.2,1
"Costanera","aeroponic","7",4,29.1,0
"Costanera","aeroponic","8",7,42.4,0
"Costanera","aeroponic","9",6,45,0
"Costanera","aeroponic","10",6,20.6,1
"Unica","pot","1",9,193.2,0
"Unica","pot","2",8,174.4,0
"Unica","pot","3",5,163,0
"Unica","pot","4",7,209.4,0
"Unica","pot","5",4,72.3,1
"Unica","pot","6",3,124.8,1
"Unica","pot","7",5,67.7,0
"Unica","pot","8",4,86.4,0
"Unica","pot","9",5,97.7,1
"Unica","pot","10",6,107.9,0
"Unica","bed","1",4,58,1
"Unica","bed","2",4,17.1,0
"Unica","bed","3",2,18.2,1
"Unica","bed","4",7,105.1,0
"Unica","bed","5",3,53,0
"Unica","bed","6",3,86.8,0
"Unica","bed","7",3,55.7,1
"Unica","bed","8",3,130.2,0
"Unica","bed","9",4,67.4,0
"Unica","bed","10",3,122.5,0
"Unica","hydroponic","1",2,16.15,0
"Unica","hydroponic","2",3,25.2,0
"Unica","hydroponic","3",2,13.3,0
"Unica","hydroponic","4",3,17.7,0
"Unica","hydroponic","5",2,28,0
"Unica","hydroponic","6",2,17.1,0
"Unica","hydroponic","7",2,20.2,0
"Unica","hydroponic","8",4,29,0
"Unica","hydroponic","9",3,36.1,1
"Unica","hydroponic","10",3,49.6,1
"Unica","aeroponic","1",6,97.7,0
"Unica","aeroponic","2",4,239.7,0
"Unica","aeroponic","3",4,65,0
"Unica","aeroponic","4",3,117.8,0
"Unica","aeroponic","5",4,114,0
"Unica","aeroponic","6",5,119.9,1
"Unica","aeroponic","7",6,62.7,0
"Unica","aeroponic","8",3,40.2,0
"Unica","aeroponic","9",5,265.4,0
"Unica","aeroponic","10",0,0,0
"Mariva","pot","1",6,139.3,0
"Mariva","pot","2",6,130.9,0
"Mariva","pot","3",6,126.4,1
"Mariva","pot","4",4,93.8,1
"Mariva","pot","5",7,104.2,0
"Mariva","pot","6",8,112.1,0
"Mariva","pot","7",7,60.6,1
"Mariva","pot","8",3,50.4,0
"Mariva","pot","9",10,64.4,0
"Mariva","pot","10",3,60.8,0
"Mariva","bed","1",10,106.9,1
"Mariva","bed","2",10,154,1
"Mariva","bed","3",8,133.2,1
"Mariva","bed","4",8,96.1,0
"Mariva","bed","5",3,37.8,1
"Mariva","bed","6",6,81.9,0
"Mariva","bed","7",6,122.5,0
"Mariva","bed","8",11,176.5,1
"Mariva","bed","9",10,118.3,0
"Mariva","bed","10",8,163.9,0
"Mariva","hydroponic","1",1,6.4,0
"Mariva","hydroponic","2",2,22.4,1
"Mariva","hydroponic","3",2,14.15,0
"Mariva","hydroponic","4",3,7.7,0
"Mariva","hydroponic","5",2,2.95,1
"Mariva","hydroponic","6",3,10.35,0
"Mariva","hydroponic","7",1,9.85,0
"Mariva","hydroponic","8",2,10.35,0
"Mariva","hydroponic","9",2,11,0
"Mariva","hydroponic","10",1,5,0
"Mariva","aeroponic","1",9,75.9,0
"Mariva","aeroponic","2",4,85.4,1
"Mariva","aeroponic","3",8,168.4,0
"Mariva","aeroponic","4",8,137.9,1
"Mariva","aeroponic","5",4,130.8,0
"Mariva","aeroponic","6",3,99.7,0
"Mariva","aeroponic","7",5,50.5,0
"Mariva","aeroponic","8",2,55.5,1
"Mariva","aeroponic","9",3,98.7,0
"Mariva","aeroponic","10",3,43,0
"Costanera","pot","1",4,152.5,1
"Costanera","pot","2",5,156.8,1
"Costanera","pot","3",8,156.7,0
"Costanera","pot","4",6,148.1,0
"Costanera","pot","5",7,131.6,1
"Costanera","pot","6",7,153.6,0
"Costanera","pot","7",5,157.6,1
"Costanera","pot","8",8,153.1,0
"Costanera","pot","9",6,157.8,0
"Costanera","pot","10",3,83.7,0
"Costanera","bed","1",7,75.3,0
"Costanera","bed","2",8,49.4,1
"Costanera","bed","3",4,66.8,1
"Costanera","bed","4",4,63.3,1
"Costanera","bed","5",6,75.8,1
"Costanera","bed","6",3,117.4,0
"Costanera","bed","7",4,62,1
"Costanera","bed","8",5,100.4,1
"Costanera","bed","9",5,65.2,1
"Costanera","bed","10",6,46.4,1
"Costanera","hydroponic","1",4,30.1,1
"Costanera","hydroponic","2",7,18.1,0
"Costanera","hydroponic","3",7,18.6,1
"Costanera","hydroponic","4",6,26.7,0
"Costanera","hydroponic","5",7,27.7,1
"Costanera","hydroponic","7",5,32.5,1
"Costanera","hydroponic","8",6,31.8,1
"Costanera","hydroponic","9",8,25.3,1
"Costanera","aeroponic","1",5,24.1,0
"Costanera","aeroponic","2",6,37.1,0
"Costanera","aeroponic","3",4,12.9,0
"Costanera","aeroponic","4",5,50.7,0
"Costanera","aeroponic","5",7,22.7,0
"Costanera","aeroponic","6",5,38.4,1
"Costanera","aeroponic","7",3,28.4,0
"Costanera","aeroponic","8",6,29.1,1
"Costanera","aeroponic","9",4,17.6,0
"Costanera","aeroponic","10",7,36.9,0
